[INFO ] 2016-11-08 17:33:45.638 [pool-2-thread-137] ReadWorker - c2r5 started.
[INFO ] 2016-11-08 17:33:45.640 [pool-2-thread-138] ReadWorker - c2r6 started.
[INFO ] 2016-11-08 17:33:45.640 [pool-2-thread-139] ReadWorker - c2r7 started.
[INFO ] 2016-11-08 17:33:45.642 [pool-2-thread-141] ReadWorker - c2r9 started.
[INFO ] 2016-11-08 17:33:45.643 [pool-2-thread-142] ReadWorker - c2r10 started.
[INFO ] 2016-11-08 17:33:45.644 [pool-2-thread-143] ReadWorker - c2r11 started.
[INFO ] 2016-11-08 17:33:45.645 [pool-2-thread-144] ReadWorker - c2r12 started.
[INFO ] 2016-11-08 17:33:45.646 [pool-2-thread-145] ReadWorker - c2r13 started.
[INFO ] 2016-11-08 17:33:45.641 [pool-2-thread-140] ReadWorker - c2r8 started.
[INFO ] 2016-11-08 17:33:45.647 [pool-2-thread-146] ReadWorker - c2r14 started.
[INFO ] 2016-11-08 17:33:45.655 [pool-2-thread-147] ReadWorker - c2r15 started.
[INFO ] 2016-11-08 17:33:45.656 [pool-2-thread-148] ReadWorker - c2r16 started.
[INFO ] 2016-11-08 17:33:45.657 [pool-2-thread-149] ReadWorker - c2r17 started.
[INFO ] 2016-11-08 17:33:45.658 [pool-2-thread-150] ReadWorker - c2r18 started.
[INFO ] 2016-11-08 17:33:45.659 [pool-2-thread-151] ReadWorker - c2r19 started.
[INFO ] 2016-11-08 17:33:45.660 [pool-2-thread-152] ReadWorker - c2r20 started.
[INFO ] 2016-11-08 17:33:45.661 [pool-2-thread-153] ReadWorker - c2r21 started.
[INFO ] 2016-11-08 17:33:45.661 [pool-2-thread-154] ReadWorker - c2r22 started.
[INFO ] 2016-11-08 17:33:45.662 [pool-2-thread-155] ReadWorker - c2r23 started.
[INFO ] 2016-11-08 17:33:45.670 [pool-2-thread-156] ReadWorker - c2r24 started.
[INFO ] 2016-11-08 17:33:45.671 [pool-2-thread-157] ReadWorker - c2r25 started.
[INFO ] 2016-11-08 17:33:45.671 [pool-2-thread-158] ReadWorker - c2r26 started.
[INFO ] 2016-11-08 17:33:45.672 [pool-2-thread-159] ReadWorker - c2r27 started.
[INFO ] 2016-11-08 17:33:45.673 [pool-2-thread-160] ReadWorker - c2r28 started.
[INFO ] 2016-11-08 17:33:45.673 [pool-2-thread-161] ReadWorker - c2r29 started.
[INFO ] 2016-11-08 17:33:45.675 [pool-2-thread-163] ReadWorker - c2r31 started.
[INFO ] 2016-11-08 17:33:45.675 [pool-2-thread-164] ReadWorker - c2r32 started.
[INFO ] 2016-11-08 17:33:45.674 [pool-2-thread-162] ReadWorker - c2r30 started.
[INFO ] 2016-11-08 17:33:45.683 [pool-2-thread-165] ReadWorker - c2r33 started.
[INFO ] 2016-11-08 17:33:45.684 [pool-2-thread-166] ReadWorker - c2r34 started.
[INFO ] 2016-11-08 17:33:45.684 [pool-2-thread-167] ReadWorker - c2r35 started.
[INFO ] 2016-11-08 17:33:45.685 [pool-2-thread-168] ReadWorker - c2r36 started.
[INFO ] 2016-11-08 17:33:45.686 [pool-2-thread-169] ReadWorker - c2r37 started.
[INFO ] 2016-11-08 17:33:45.687 [pool-2-thread-170] ReadWorker - c2r38 started.
[INFO ] 2016-11-08 17:33:45.695 [pool-2-thread-171] ReadWorker - c2r39 started.
